bug_id,bug_source,description,status,priority,report_date,resolution_date,resolution_time,solution_steps,assigned_to,tags
1,JIRA,"Bug: Form submission causes a server error.
Steps to Reproduce:
1. Go to the 'Contact Us' page.
2. Fill in all the fields and click 'Submit'.
Expected Behavior: The form should be submitted and a confirmation message should appear.
Actual Behavior: A 500 Internal Server Error occurs on submission.",Resolved,P2,2024-01-12,2024-01-14,2 days,"1. Investigated logs and identified a missing error handler.
2. Added error handling in the submitForm() API.
3. Updated backend to validate form inputs.
4. Added frontend JavaScript validation for user feedback.
5. Tested with edge cases (e.g., empty fields, invalid email).
6. Deployed via CI/CD pipeline and verified the solution in production.",Alice,UI Bug
2,Buganizer,"Bug: Dashboard page keeps loading indefinitely.
Steps to Reproduce:
1. Log in and navigate to the dashboard.
2. Wait for the dashboard data to load.
Expected Behavior: Dashboard should load within a few seconds.
Actual Behavior: The loading spinner never disappears.",Resolved,P1,2024-01-08,2024-01-09,1 day,"1. Analyzed server-side logs and identified a timeout issue.
2. Optimized backend API response times by reducing unnecessary data fetching.
3. Updated front-end logic to display an error message if the response takes too long.
4. Tested with different network conditions.
5. Deployed the fix and confirmed the issue was resolved.",Bob,Performance
3,GitHub,"Bug: Product page layout is broken on mobile.
Steps to Reproduce:
1. Open the product page on a mobile device.
2. Scroll down to the product description section.
Expected Behavior: The layout should be responsive and adjust to mobile view.
Actual Behavior: The product image overlaps with the text.",Resolved,P3,2024-01-15,2024-01-16,1 day,"1. Identified incorrect CSS media query for mobile devices.
2. Updated CSS to adjust padding and margins for smaller screens.
3. Tested on multiple mobile devices to ensure responsiveness.
4. Deployed the fix via the CI/CD pipeline and confirmed resolution.",Charlie,UI Bug
4,Trello,"Bug: Database query takes too long to return results.
Steps to Reproduce:
1. Run a query to fetch user transaction history.
Expected Behavior: Query should return results within 2 seconds.
Actual Behavior: Query takes more than 30 seconds to complete.",In Progress,P1,2024-01-18,,,"1. Analyzed the query execution plan and identified missing indexes.
2. Added indexes on the transaction table for faster lookups.
3. Optimized SQL joins for performance.
4. Planned to deploy the changes after final testing.",Dave,Database
5,ServiceNow,"Bug: Users unable to log in due to session expiration.
Steps to Reproduce:
1. Log in to the web application.
2. Wait for 10 minutes of inactivity.
Expected Behavior: User session should remain active for at least 30 minutes.
Actual Behavior: Users are logged out after 10 minutes of inactivity.",Resolved,P1,2024-01-10,2024-01-11,1 day,"1. Investigated session management settings and identified incorrect timeout configuration.
2. Increased session timeout to 30 minutes in the backend.
3. Tested session timeout with various user inactivity periods.
4. Deployed the fix and verified the session remained active as expected.",Emma,Authentication
6,JIRA,"Bug: Clicking the 'Save' button does not trigger any action.
Steps to Reproduce:
1. Open the form and fill in all fields.
2. Click 'Save'.
Expected Behavior: The form should save and display a success message.
Actual Behavior: Nothing happens when the button is clicked.",Resolved,P3,2024-01-05,2024-01-06,1 day,"1. Identified missing event listener in the JavaScript file.
2. Added the correct event handler for the 'Save' button.
3. Tested the form submission on multiple browsers.
4. Deployed the fix and confirmed the button now works as expected.",Alice,UI Bug
7,Buganizer,"Bug: Incorrect total amount displayed on the invoice.
Steps to Reproduce:
1. Complete a transaction and view the invoice.
Expected Behavior: The total should accurately reflect the transaction amount.
Actual Behavior: The total is off by a few cents.",Resolved,P2,2024-01-03,2024-01-04,1 day,"1. Identified rounding error in the backend calculation logic.
2. Fixed the rounding issue and updated the calculation method.
3. Tested with various transaction amounts to confirm accuracy.
4. Deployed the fix and confirmed the correct totals are now displayed.",Bob,Finance
8,GitHub,"Bug: API rate limit exceeded.
Steps to Reproduce:
1. Make multiple API calls in quick succession.
Expected Behavior: All requests should succeed.
Actual Behavior: The API returns a 'Rate limit exceeded' error after a few requests.",In Progress,P1,2024-01-07,,,"1. Implemented exponential backoff in the API request handler.
2. Requested an increase in API rate limit from the service provider.
3. Planned to deploy the fix once testing is completed.",Charlie,API
9,Trello,"Bug: Image upload fails halfway through the process.
Steps to Reproduce:
1. Try to upload an image to a project.
Expected Behavior: The image should upload successfully.
Actual Behavior: The upload freezes halfway and does not complete.",Resolved,P2,2024-01-02,2024-01-04,2 days,"1. Investigated server logs and identified a timeout issue during the upload process.
2. Increased the server-side upload timeout limit.
3. Optimized image compression algorithm for faster uploads.
4. Tested with large and small images to ensure stability.
5. Deployed the fix and verified successful uploads.",Dave,File Upload
10,ServiceNow,"Bug: Search results are very slow to load.
Steps to Reproduce:
1. Use the search functionality to look up records.
Expected Behavior: Results should load within a few seconds.
Actual Behavior: Results take over 30 seconds to appear.",Resolved,P2,2024-01-09,2024-01-10,1 day,"1. Optimized the database queries behind the search functionality.
2. Added caching for frequently searched terms.
3. Tested search speeds with various keywords.
4. Deployed the fix and confirmed the search now loads quickly.",Emma,Performance
